Posted On,BHK,Rent,Size,Area Type,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Unnamed: 12,phone number,Floor Number,Total Floors
2022-05-05,3,8500,900,carpet area,paschim barisha,kolkata,unfurnished,bachelors,2,contact owner,,6360088226,0,2.0
2022-06-01,3,40000,1286,carpet area,new town action area 1,kolkata,furnished,bachelors/family,2,contact owner,,6360088226,1,1.0
2022-05-17,2,6000,600,super area,barasat,kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,1,2.0
2022-06-20,2,10000,800,super area,behala,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,0,2.0
2022-06-09,2,11000,2000,carpet area,behala chowrasta,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,0,3.0
2022-06-09,2,6000,660,super area,behala,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,1,2.0
2022-07-02,2,7900,650,carpet area,santoshpur,kolkata,unfurnished,family,1,contact owner,,6360088226,1,2.0
2022-06-14,2,9000,400,carpet area,"garia station, garia",kolkata,unfurnished,bachelors,2,contact owner,,6360088226,2,3.0
2022-06-15,1,4000,300,carpet area,"garia station, garia",kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,0,4.0
2022-06-15,3,6500,1600,super area,joka,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,0,2.0
2022-05-28,1,8000,400,super area,sreebhumi,kolkata,semi-furnished,bachelors,1,contact agent,,6360088226,1,2.0
2022-05-22,2,7000,1000,super area,rajarhat,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,1,1.0
2022-06-18,1,5300,355,carpet area,dum dum,kolkata,semi-furnished,bachelors/family,1,contact agent,,6360088226,1,1.0
2022-06-25,2,6000,1000,super area,"kodalia, hooghly-chinsurah",kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,0,3.0
2022-06-22,2,8500,800,super area,baguiati,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,4,5.0
2022-06-25,2,12500,850,super area,"rabindra sarobar area, dhakuria",kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,0,2.0
2022-05-21,1,7500,350,carpet area,baghajatin,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,0,2.0
2022-06-26,2,15000,900,carpet area,"project kaikhali, vip road",kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,0,2.0
2022-06-16,2,6000,550,super area,vip road,kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,1,1.0
2022-06-29,2,5000,500,carpet area,baruipur,kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,0,2.0
2022-05-10,3,22000,1100,carpet area,dumdum park,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,2,3.0
2022-05-12,2,15000,850,carpet area,sreebhumi,kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,1,2.0
2022-06-03,2,12500,800,carpet area,shyam bazar,kolkata,unfurnished,bachelors,1,contact agent,,6360088226,2,2.0
2022-05-31,2,7000,630,carpet area,birati,kolkata,unfurnished,bachelors,1,contact owner,,6360088226,0,3.0
2022-06-10,2,21000,900,carpet area,bansdroni,kolkata,semi-furnished,bachelors,2,contact owner,,6360088226,1,2.0
2022-06-24,1,10000,270,carpet area,jadavpur university,kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,1,2.0
2022-06-29,2,7200,630,carpet area,birati,kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,0,1.0
2022-05-12,3,12000,1500,carpet area,bhadrakali,kolkata,furnished,bachelors,2,contact owner,,6360088226,0,2.0
2022-06-26,1,5000,600,super area,behala,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,2,5.0
2022-04-30,2,8500,700,carpet area,baruipur,kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,4,14.0
2022-05-27,1,6000,300,super area,ballygunge,kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,0,3.0
2022-06-06,2,10000,1300,super area,kalikapur,kolkata,semi-furnished,family,2,contact owner,,6360088226,0,1.0
2022-05-20,2,4600,400,carpet area,behala,kolkata,semi-furnished,bachelors,1,contact owner,,6360088226,3,3.0
2022-07-02,2,12000,650,super area,"baishnabghata patuli township, patuli",kolkata,unfurnished,family,2,contact owner,,6360088226,0,1.0
2022-05-26,3,30000,2000,super area,behala,kolkata,semi-furnished,bachelors/family,2,contact owner,,6360088226,0,2.0
2022-05-12,3,15000,1068,super area,bansdroni,kolkata,semi-furnished,bachelors/family,2,contact owner,,6360088226,0,3.0
2022-06-22,1,7500,150,super area,salt lake city,kolkata,furnished,bachelors/family,1,contact owner,,6360088226,1,1.0
2022-06-25,1,7500,450,carpet area,new town,kolkata,unfurnished,bachelors,1,contact owner,,6360088226,2,2.0
2022-07-03,2,5000,800,carpet area,baruipur,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,0,1.0
2022-04-23,2,15000,1000,super area,bansdroni,kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,0,2.0
2022-05-14,2,11000,900,super area,pancha sayar,kolkata,semi-furnished,bachelors,1,contact owner,,6360088226,5,5.0
2022-05-27,1,7000,600,carpet area,behala,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,0,2.0
2022-06-19,2,6000,1200,super area,hooghly-chinsurah,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,1,1.0
2022-06-19,2,6000,1200,super area,hooghly-chinsurah,kolkata,semi-furnished,bachelors,2,contact owner,,6360088226,2,2.0
2022-07-02,2,7000,650,super area,"amtala, diamond harbour road",kolkata,semi-furnished,bachelors/family,2,contact owner,,6360088226,0,3.0
2022-07-06,2,8500,720,carpet area,"shrachi village, madhyam gram",kolkata,semi-furnished,bachelors/family,2,contact owner,,6360088226,4,4.0
2022-07-02,1,5000,300,carpet area,kasba,kolkata,unfurnished,bachelors,1,contact owner,,6360088226,1,3.0
2022-06-21,3,30000,1200,carpet area,vip road haldiram,kolkata,unfurnished,bachelors/family,3,contact agent,,6360088226,0,2.0
2022-06-04,2,10000,700,carpet area,sarsuna,kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,7,8.0
2022-06-24,3,30000,2000,super area,naihati,kolkata,semi-furnished,bachelors/family,2,contact owner,,6360088226,1,3.0
2022-05-14,1,3500,250,super area,baksara,kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,0,4.0
2022-06-26,2,8000,1100,carpet area,naihati,kolkata,unfurnished,bachelors,1,contact owner,,6360088226,0,3.0
2022-07-02,1,5000,300,carpet area,kasba,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,0,2.0
2022-05-05,2,7500,600,super area,"amtala, diamond harbour road",kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,0,2.0
2022-05-18,2,6500,800,carpet area,"chak thakurani, thakurpukur",kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,0,2.0
2022-06-07,1,7500,680,super area,jadavpur,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,1,3.0
2022-06-07,1,7500,680,super area,jadavpur,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,0,2.0
2022-06-26,2,16000,850,carpet area,salt lake city sector 1,kolkata,semi-furnished,bachelors,1,contact agent,,6360088226,1,4.0
2022-06-26,2,16000,850,carpet area,salt lake city sector 1,kolkata,semi-furnished,bachelors,1,contact agent,,6360088226,1,2.0
2022-05-30,2,6500,700,super area,bandel,kolkata,unfurnished,bachelors,1,contact owner,,6360088226,0,2.0
2022-05-22,3,40000,1500,super area,beliaghata,kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,0,2.0
2022-06-18,2,12500,950,super area,"magnolia prestige, rajarhat",kolkata,semi-furnished,bachelors/family,2,contact owner,,6360088226,1,4.0
2022-06-08,2,5500,500,super area,"baishnabghata patuli township, patuli",kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,0,2.0
2022-06-25,1,5000,450,carpet area,"dum dum heights, jessore road",kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,2,4.0
2022-05-03,2,6500,700,super area,sonarpur,kolkata,unfurnished,bachelors,1,contact owner,,6360088226,0,2.0
2022-05-12,1,8000,500,super area,lake town,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,1,2.0
2022-06-01,3,14500,1800,super area,belghoria,kolkata,semi-furnished,bachelors/family,2,contact owner,,6360088226,0,2.0
2022-05-23,1,8200,500,carpet area,"rabindra pally, keshtopur",kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,1,3.0
2022-05-23,2,15000,480,carpet area,shukhobrishti,kolkata,furnished,bachelors/family,2,contact owner,,6360088226,0,3.0
2022-06-21,6,20000,1000,super area,sonarpur,kolkata,semi-furnished,bachelors/family,2,contact owner,,6360088226,1,1.0
2022-06-22,2,6700,800,super area,"baishnavghata patuli , house number s-300 kolkata 700094",kolkata,furnished,bachelors/family,1,contact owner,,6360088226,1,2.0
2022-05-27,1,10000,435,super area,kasba,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,2,3.0
2022-05-07,2,7000,700,carpet area,dum dum metro,kolkata,semi-furnished,bachelors/family,2,contact agent,,6360088226,0,2.0
2022-06-25,2,22000,800,super area,"hazra, kalighat",kolkata,furnished,bachelors/family,1,contact agent,,6360088226,4,4.0
2022-06-27,2,6500,450,super area,ajoy nagar,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,1,3.0
2022-05-31,2,8500,550,carpet area,kasba -east,kolkata,semi-furnished,bachelors/family,1,contact agent,,6360088226,2,3.0
2022-06-03,2,18000,800,carpet area,salt lake city,kolkata,unfurnished,bachelors,2,contact agent,,6360088226,0,4.0
2022-06-27,2,12000,550,carpet area,baghajatin,kolkata,semi-furnished,family,2,contact owner,,6360088226,0,2.0
2022-05-15,1,9000,600,super area,behala,kolkata,furnished,bachelors/family,1,contact owner,,6360088226,2,4.0
2022-06-09,1,6000,500,super area,"new garia, garia",kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,0,1.0
2022-04-28,2,20000,1000,super area,anandapur,kolkata,furnished,bachelors/family,2,contact owner,,6360088226,1,2.0
2022-05-23,1,5000,300,carpet area,dum dum metro,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,1,2.0
2022-06-28,2,12000,1200,super area,boral,kolkata,furnished,bachelors/family,2,contact owner,,6360088226,1,3.0
2022-06-23,2,10000,500,carpet area,"rabindra pally, keshtopur",kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,3,4.0
2022-04-29,4,18000,1200,super area,bagbazar,kolkata,unfurnished,family,2,contact owner,,6360088226,1,2.0
2022-06-13,2,15000,900,carpet area,salt lake city sector 1,kolkata,semi-furnished,bachelors/family,2,contact agent,,6360088226,1,2.0
2022-06-13,3,22000,1300,carpet area,salt lake city sector 2,kolkata,unfurnished,bachelors/family,3,contact agent,,6360088226,0,2.0
2022-06-13,4,35000,1600,carpet area,salt lake city sector 3,kolkata,unfurnished,bachelors/family,3,contact agent,,6360088226,1,5.0
2022-05-14,3,21000,1450,super area,ajoy nagar,kolkata,unfurnished,family,2,contact owner,,6360088226,0,1.0
2022-07-06,2,25000,1100,super area,"action area 1, rajarhat newtown",kolkata,furnished,bachelors,2,contact agent,,6360088226,2,2.0
2022-06-16,2,180000,950,carpet area,"avenue s, santoshpur",kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,0,1.0
2022-06-06,1,6000,600,carpet area,pratiraksha nagar,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,8,5.0
2022-07-04,2,14000,700,carpet area,"kudghat, ashok nagar",kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,0,2.0
2022-05-15,3,8000,750,super area,"sakher bazar, purba barisha",kolkata,unfurnished,family,1,contact owner,,6360088226,0,2.0
2022-05-04,2,8000,1000,super area,"purbasan, thakurpukur",kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,0,1.0
2022-04-25,1,6000,220,super area,"bidhan pally, bansdroni",kolkata,furnished,bachelors/family,1,contact owner,,6360088226,0,2.0
2022-05-21,1,8000,300,carpet area,"naktala, garia",kolkata,semi-furnished,bachelors,1,contact agent,,6360088226,1,3.0
2022-06-27,1,6000,300,carpet area,tiljala road,kolkata,unfurnished,bachelors/family,1,contact agent,,6360088226,0,1.0
2022-07-02,1,20000,700,super area,sankaritola,kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,1,2.0
2022-07-06,3,12000,800,super area,"parnashree lake, behala",kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,0,1.0
2022-04-28,3,15000,1600,super area,garia,kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,1,3.0
2022-05-15,2,14000,1000,carpet area,kasba,kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,1,3.0
2022-05-30,1,5000,20,super area,dakshineswar,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,2,3.0
2022-06-10,2,7000,400,carpet area,chatana,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,0,2.0
2022-06-23,1,3900,200,super area,shyam bazar,kolkata,furnished,bachelors/family,1,contact owner,,6360088226,2,2.0
2022-06-09,3,14000,840,carpet area,mukundapur,kolkata,unfurnished,bachelors,2,contact owner,,6360088226,1,4.0
2022-06-19,1,6300,300,carpet area,salt lake city sector 5,kolkata,unfurnished,bachelors/family,1,contact agent,,6360088226,1,1.0
2022-07-03,2,13000,550,carpet area,salt lake city sector 5,kolkata,furnished,bachelors/family,2,contact agent,,6360088226,1,2.0
2022-07-03,1,6800,300,carpet area,salt lake city sector 5,kolkata,unfurnished,bachelors/family,1,contact agent,,6360088226,1,2.0
2022-05-14,2,8000,800,super area,behala chowrasta,kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,1,1.0
2022-05-10,2,10000,740,carpet area,sonarpur,kolkata,unfurnished,bachelors,1,contact owner,,6360088226,0,6.0
2022-04-25,2,18000,1300,super area,santoshpur,kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,1,1.0
2022-06-13,2,8000,650,super area,"garia station, garia",kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,0,1.0
2022-05-06,2,8000,490,super area,entally,kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,1,1.0
2022-06-08,1,4700,250,super area,kaikhali,kolkata,furnished,bachelors/family,1,contact owner,,6360088226,2,2.0
2022-06-08,1,4700,250,super area,"dash drone, rajarhat newtown",kolkata,furnished,bachelors/family,1,contact owner,,6360088226,0,1.0
2022-05-06,1,4500,450,super area,"rabindra pally, keshtopur",kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,1,2.0
2022-06-30,1,6000,300,carpet area,salt lake city sector 1,kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,0,1.0
2022-06-24,2,16000,750,super area,"rajdanga gardens, kasba",kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,1,3.0
2022-07-01,1,4700,250,super area,kaikhali,kolkata,furnished,bachelors/family,1,contact owner,,6360088226,1,2.0
2022-06-17,2,14000,751,carpet area,baghajatin,kolkata,unfurnished,bachelors,1,contact owner,,6360088226,3,3.0
2022-06-26,2,9000,900,carpet area,lake town,kolkata,semi-furnished,bachelors,1,contact owner,,6360088226,0,2.0
2022-06-23,2,5000,400,carpet area,keshtopur,kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,1,3.0
2022-06-13,2,17500,1000,carpet area,salt lake city,kolkata,semi-furnished,bachelors/family,2,contact agent,,6360088226,0,2.0
2022-06-11,2,8500,1000,carpet area,south baksara,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,0,1.0
2022-05-26,3,15000,1500,carpet area,"chandannagar, hooghly-chinsurah",kolkata,semi-furnished,family,2,contact owner,,6360088226,1,1.0
2022-04-25,2,12500,750,carpet area,"sukhpally, haltu",kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,1,3.0
2022-05-11,1,13000,1200,super area,kasba,kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,2,4.0
2022-05-06,2,8000,700,super area,"sakher bazar, purba barisha",kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,0,1.0
2022-05-10,2,8000,700,carpet area,garia dhalua nabapally,kolkata,furnished,bachelors/family,1,contact owner,,6360088226,4,4.0
2022-05-21,2,8000,1000,super area,"chinar park, rajarhat",kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,0,2.0
2022-06-12,2,7000,1200,super area,konnagar,kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,1,3.0
2022-06-05,2,2200,550,super area,behala silpara,kolkata,furnished,bachelors/family,1,contact owner,,6360088226,2,3.0
2022-06-25,2,8000,800,carpet area,vip road,kolkata,unfurnished,bachelors,1,contact owner,,6360088226,0,4.0
2022-06-11,2,5500,280,super area,new barrakpur,kolkata,unfurnished,bachelors,1,contact owner,,6360088226,1,3.0
2022-07-04,3,20000,1100,super area,"thakurpukur, kolkata",kolkata,unfurnished,bachelors/family,3,contact owner,,6360088226,0,2.0
2022-05-10,2,7000,950,super area,kaikhali,kolkata,unfurnished,bachelors/family,1,contact agent,,6360088226,0,2.0
2022-05-13,1,3500,250,super area,"phool bagan, kankurgachi",kolkata,furnished,bachelors/family,1,contact owner,,6360088226,1,2.0
2022-05-10,2,5000,1000,carpet area,hindmotor,kolkata,unfurnished,bachelors,1,contact owner,,6360088226,0,2.0
2022-06-30,3,20000,1000,carpet area,salt lake city sector 1,kolkata,semi-furnished,bachelors/family,2,contact owner,,6360088226,0,2.0
2022-05-27,2,7000,650,super area,howrah,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,0,2.0
2022-06-08,2,10000,700,super area,benia pukur,kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,1,2.0
2022-05-15,2,7000,700,carpet area,baguiati,kolkata,unfurnished,bachelors,1,contact owner,,6360088226,0,3.0
2022-06-29,3,12000,1000,super area,e m bypass,kolkata,semi-furnished,bachelors/family,2,contact owner,,6360088226,0,3.0
2022-05-13,2,14500,900,carpet area,"panchanan tola, thakurpukur",kolkata,unfurnished,bachelors,2,contact owner,,6360088226,1,4.0
2022-05-25,1,6000,700,super area,"vip nagar, e m bypass",kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,1,2.0
2022-07-04,2,9500,700,super area,jadavpur,kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,1,2.0
2022-06-27,2,10000,450,carpet area,behala,kolkata,semi-furnished,bachelors/family,2,contact owner,,6360088226,2,1.0
2022-05-06,1,3500,120,super area,dum dum cantonment,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,0,3.0
2022-06-01,2,9000,800,super area,"new garia, garia",kolkata,semi-furnished,bachelors/family,2,contact owner,,6360088226,1,2.0
2022-06-07,3,40000,1220,carpet area,salt lake city sector 3,kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,2,3.0
2022-06-23,3,16500,1100,super area,mominpur,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,0,3.0
2022-06-12,3,8000,700,carpet area,"halisahar station road, kanchrapara",kolkata,unfurnished,family,2,contact owner,,6360088226,0,3.0
2022-05-10,2,12000,800,super area,santoshpur,kolkata,furnished,bachelors/family,1,contact owner,,6360088226,0,3.0
2022-06-27,2,6500,670,super area,"dunlop, dakshineswar, belgharia expressway",kolkata,unfurnished,family,1,contact owner,,6360088226,2,2.0
2022-04-30,4,40000,1300,super area,ballygunge,kolkata,unfurnished,bachelors/family,3,contact owner,,6360088226,1,2.0
2022-05-06,1,5000,190,super area,baguihati,kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,0,2.0
2022-05-24,2,9000,700,super area,kabardanga,kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,0,2.0
2022-06-17,1,7000,240,carpet area,jadavpur,kolkata,unfurnished,bachelors,1,contact owner,,6360088226,0,4.0
2022-05-19,2,18000,850,carpet area,behala chowrasta,kolkata,semi-furnished,family,1,contact owner,,6360088226,2,4.0
2022-05-26,1,9000,950,super area,haltu,kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,1,2.0
2022-06-11,1,5500,450,carpet area,botanical garden area,kolkata,furnished,bachelors/family,1,contact owner,,6360088226,1,2.0
2022-06-08,2,7500,800,carpet area,bonhooghly,kolkata,unfurnished,bachelors,1,contact owner,,6360088226,0,2.0
2022-07-02,2,4000,600,carpet area,nilgung old bazar,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,1,2.0
2022-05-30,3,10500,800,carpet area,"teghoria, baguiati",kolkata,unfurnished,bachelors,2,contact owner,,6360088226,2,2.0
2022-07-03,3,15000,1100,carpet area,survey park,kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,0,2.0
2022-06-16,2,15000,800,carpet area,baguiati,kolkata,furnished,bachelors/family,1,contact owner,,6360088226,0,2.0
2022-05-13,1,50000,2200,super area,kanchrapara,kolkata,furnished,bachelors/family,3,contact owner,,6360088226,2,5.0
2022-06-08,2,12000,950,carpet area,"jote shibrampur, joth shibrampur",kolkata,unfurnished,bachelors,2,contact owner,,6360088226,1,1.0
2022-04-25,2,11000,550,carpet area,ultadanga,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,2,3.0
2022-06-04,2,12000,1800,carpet area,birati,kolkata,unfurnished,bachelors,2,contact owner,,6360088226,1,1.0
2022-05-11,2,8000,1000,super area,"chinar park, rajarhat",kolkata,furnished,bachelors/family,1,contact owner,,6360088226,0,2.0
2022-05-27,2,18000,600,super area,bagha jatin pally,kolkata,semi-furnished,bachelors/family,2,contact owner,,6360088226,0,3.0
2022-04-24,2,8000,750,carpet area,rishi aurobindo sarani neat nioh hospital,kolkata,semi-furnished,bachelors/family,2,contact owner,,6360088226,2,4.0
2022-05-10,2,7000,685,super area,dum dum metro,kolkata,unfurnished,bachelors/family,1,contact agent,,6360088226,2,3.0
2022-05-24,1,6500,44,carpet area,baranagar,kolkata,furnished,bachelors/family,1,contact owner,,6360088226,0,1.0
2022-06-10,4,13000,1200,carpet area,tollygunge,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,0,2.0
2022-05-05,2,9000,500,carpet area,airport near gate no. 21/2,kolkata,unfurnished,bachelors,1,contact owner,,6360088226,0,2.0
2022-04-29,4,10000,1110,carpet area,purbasa,kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,2,2.0
2022-05-05,2,12000,1000,super area,jadavpur,kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,1,3.0
2022-06-26,2,5000,392,super area,jadavpur,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,0,2.0
2022-05-09,2,6000,700,super area,barasat-barrackpore road,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,1,2.0
2022-05-19,1,5200,750,super area,keshtopur,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,2,4.0
2022-06-07,3,15000,1500,super area,"biren roy road (w) chowrashtra behala, raja rammohan roy road",kolkata,unfurnished,family,2,contact owner,,6360088226,1,2.0
2022-04-29,2,9000,900,super area,keshtopur,kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,0,1.0
2022-07-03,1,24000,710,super area,salt lake city sector 1,kolkata,furnished,bachelors,1,contact agent,,6360088226,1,1.0
2022-05-26,1,5500,400,carpet area,jadavpur central park east,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,0,3.0
2022-06-24,1,10000,700,carpet area,garia,kolkata,unfurnished,bachelors,1,contact owner,,6360088226,1,2.0
2022-07-03,2,15000,1000,carpet area,tn chatterjee street,kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,0,2.0
2022-06-12,1,4700,250,super area,kaikhali,kolkata,furnished,bachelors/family,1,contact owner,,6360088226,1,2.0
2022-05-14,1,5000,500,carpet area,bata nagar,kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,0,3.0
2022-05-20,2,5000,450,carpet area,birati,kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,2,2.0
2022-06-27,3,15000,1400,super area,survey park,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,1,3.0
2022-05-14,1,5000,500,carpet area,bata nagar,kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,1,1.0
2022-06-17,2,6000,700,carpet area,hatiara extention,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,0,1.0
2022-06-04,3,18000,1200,carpet area,salt lake city sector 1,kolkata,semi-furnished,bachelors/family,1,contact owner,,6360088226,1,3.0
2022-06-21,2,8000,450,carpet area,andul,kolkata,unfurnished,bachelors,1,contact owner,,6360088226,1,2.0
2022-06-23,1,13000,500,carpet area,salt lake city sector 2,kolkata,furnished,bachelors,1,contact agent,,6360088226,2,2.0
2022-07-02,2,7500,400,carpet area,locality,kolkata,unfurnished,bachelors/family,1,contact owner,,6360088226,0,1.0
2022-04-24,3,12000,1000,super area,khardah,kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,0,1.0
2022-06-04,2,11000,750,carpet area,parnasree pally,kolkata,unfurnished,bachelors,1,contact owner,,6360088226,0,1.0
2022-06-24,1,6000,450,super area,baghajatin,kolkata,unfurnished,family,1,contact owner,,6360088226,0,2.0
2022-06-19,3,20000,1000,carpet area,salt lake city sector 3,kolkata,unfurnished,bachelors,2,contact agent,,6360088226,1,2.0
2022-07-03,2,7000,500,carpet area,sarsuna banerjee para,kolkata,unfurnished,bachelors,2,contact owner,,6360088226,1,1.0
2022-06-19,4,30000,1600,carpet area,salt lake city sector 3,kolkata,unfurnished,bachelors,2,contact agent,,6360088226,0,1.0
2022-07-02,2,7500,550,carpet area,near seven tanks road dumdum station,kolkata,unfurnished,bachelors,1,contact owner,,6360088226,0,1.0
2022-06-21,1,6500,550,super area,jyangra,kolkata,unfurnished,bachelors/family,2,contact owner,,6360088226,1,2.0
